orig_index,Isomeric Smiles,Molecular Weight,AlogP,H_donors,H_acceptors,#RO5 Violations,MW,LogP,RO5_violations
249,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O)O,146.142,-1.4942000000000002,2.0,4.0,0.0,,,
250,c1ccc2c(c1)ccc(=O)o2,146.14499999999995,1.7929999999999997,0.0,2.0,0.0,,,
251,C(CC(=O)N)[C@@H](C(=O)[O-])[NH3+],146.146,-3.3876999999999997,2.0,3.0,0.0,,,
252,COC(=O)CCC(=O)C[NH3+],146.166,-1.249399999999999,1.0,3.0,0.0,,,
253,CC(=O)OCC[N+](C)(C)C,146.21,0.25570000000000004,0.0,2.0,0.0,,,
254,CCCC(C(CC)CO)O,146.23000000000002,1.1659,2.0,2.0,0.0,,,
255,CC=CSSCC=C,146.28,3.0874000000000015,0.0,2.0,0.0,,,
256,c1cc(ccc1Cl)Cl,147.004,2.9934000000000003,0.0,0.0,0.0,,,
257,c1ccc(cc1)/C=C/C(=O)[O-],147.15299999999996,0.4497,0.0,2.0,0.0,,,
258,C(CC[NH3+])C[C@@H](C(=O)[O-])[NH3+],147.19799999999998,-3.2409999999999988,2.0,2.0,0.0,,,
259,C[N+](C)(C)CCOC(=O)N,147.19799999999998,-0.2120999999999994,1.0,2.0,0.0,,,
260,Cc1cncc2c1CC[C@@H]2C,147.221,2.4397200000000003,0.0,1.0,0.0,,,
261,C(C(C(=O)[O-])O)(C(=O)[O-])O,148.07,-4.791999999999999,2.0,6.0,0.0,,,
262,C(C(C(=O)[O-])S)C(=O)[O-],148.13899999999998,-2.8253,1.0,5.0,0.0,,,
263,C1C[NH2+][C@@H]([C@H]([C@@H]1O)O)CO,148.18199999999996,-2.9637999999999978,4.0,3.0,0.0,,,
264,CC(C)c1ccc(cc1)C=O,148.20499999999996,2.6225000000000014,0.0,1.0,0.0,,,
265,COc1ccc(cc1)CC=C,148.20499999999998,2.4237,0.0,1.0,0.0,,,
266,C/C=C/c1ccc(cc1)OC,148.20499999999996,2.728300000000001,0.0,1.0,0.0,,,
267,C(CNCC[NH2+]CCN)[NH3+],148.25400000000002,-3.6599999999999984,4.0,2.0,0.0,,,
268,c1c[nH]c2c1cc(c(c2)O)O,149.14899999999997,1.5790999999999995,3.0,2.0,0.0,,,
269,C=Cc1cnccc1CCO,149.19299999999998,1.2593999999999999,1.0,2.0,0.0,,,
270,CC1c2cnccc2CC1O,149.19299999999998,1.1020999999999999,1.0,2.0,0.0,,,
271,CC(C)([C@H](C(=O)[O-])[NH3+])S,149.215,-1.9447999999999985,2.0,3.0,0.0,,,
272,CSCC[C@@H](C(=O)[O-])[NH3+],149.215,-1.9000999999999983,1.0,3.0,0.0,,,
273,CSCCC(C(=O)[O-])[NH3+],149.215,-1.9000999999999983,1.0,3.0,0.0,,,
274,CCN(CC)C(=S)S,149.28400000000002,1.5429,1.0,1.0,0.0,,,
275,Cn1c(=O)cc(s1)Cl,149.602,1.1002,0.0,3.0,0.0,,,
276,C(C(C(C(C=O)O)O)O)O,150.13,-2.7396999999999996,4.0,5.0,0.0,,,
277,C([C@H]([C@H]([C@@H](C=O)O)O)O)O,150.13,-2.7396999999999996,4.0,5.0,0.0,,,
278,C([C@H]([C@@H]([C@H](C=O)O)O)O)O,150.13,-2.7396999999999996,4.0,5.0,0.0,,,
279,C([C@@H]([C@@H]([C@H](C=O)O)O)O)O,150.13,-2.7396999999999996,4.0,5.0,0.0,,,
280,C(C(CO)(C(C=O)O)O)O,150.13,-2.7380999999999998,4.0,5.0,0.0,,,
281,c1cc2c(cc1C=O)OCO2,150.13299999999995,1.2277999999999998,0.0,3.0,0.0,,,
